Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_BasicSurvival5_subtitle,Quest,Quest Info,,,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club,Craft Wooden Club
quest_BasicSurvival6,Quest,Quest Info,,,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14,Basic Survival 8/14
quest_BasicSurvival6_description,Quest,Quest Info,,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.","Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows."
quest_BasicSurvival6_subtitle,Quest,Quest Info,,,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows,Craft Bow & Arrows
quest_BasicSurvival7,Quest,Quest Info,,,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14,Basic Survival 12/14
quest_BasicSurvival7_description,Quest,Quest Info,,,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.
quest_BasicSurvival7_subtitle,Quest,Quest Info,,,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base,Start a Base
quest_BasicSurvival8,Quest,Quest Info,,,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14,Basic Survival 14/14
quest_BasicSurvival8_description,Quest,Quest Info,,,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.
quest_BasicSurvival8_subtitle,Quest,Quest Info,,,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire,Build a Campfire
perkLuckyLooterRank1LongDesc,progression,perk Per,,,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.,You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 5% faster.
perkLuckyLooterRank2LongDesc,progression,perk Per,,,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.,Your luck is improving and no matter where you look you seem to find something good. Adds 10% to loot bonus. Looting is 10% faster.
perkLuckyLooterRank3LongDesc,progression,perk Per,,,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.,Adds 15% to loot bonus. Looting is 20% faster.
perkLuckyLooterRank4LongDesc,progression,perk Per,,,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.,You just seem to be blessed with finding great loot everywhere you look. Adds 20% to loot bonus. Looting is 30% faster.
perkLuckyLooterRank5LongDesc,progression,perk Per,,,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.,The Lucky Looter. You are on a roll and the dice are loaded. Adds 25% to loot bonus. Looting is 40% faster.

perkLivingOffTheLandRank1LongDesc,progression,perk For,,,"Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe.","Harvest 2 items from wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nUnlocks the Iron Hoe."
perkLivingOffTheLandRank2LongDesc,progression,perk For,,,"You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table.","You can craft seeds for berries and vegetables.\nUnlocks the Farm Table."
perkLivingOffTheLandRank3LongDesc,progression,perk For,,,"Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm.","Unlocks Wells. Master the Bro Technique and start your own Cannabis Farm."
perkLivingOffTheLandDesc,progression,perk For,,,"Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables.","Specialize in harvesting more crops using your hands or a tool. Learn to fish and craft fishing rods as well as farm tables."
perkLivingOffTheLandRank4LongDesc,progression,perk For,,,"Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors.","Harvest 3 items from wild or planted crops.\nUnlocks Bee Hives, Farm Plots and Rain Collectors."
perkLivingOffTheLandRank5LongDesc,progression,perk For,,,"Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond.","Unlocks Irrigation and Pipes. Become an Animal Breeder and Breed Chickens and Rabbits. Fish in your very own Fishing Pond."
perkLivingOffTheLandRank4Desc,progression,perk For,,,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover,Land Lover
perkLivingOffTheLandRank5Desc,progression,perk For,,,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer,Efficient Farmer

perkFiremansAlmanacComplete,progression,perk  book,,,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion
perkFiremansAlmanacCompleteName,progression,perk  book,,,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion
perkfiremansalmanaccompleteName,progression,perk  book,,,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion,Firemans Almanac - Completion
